book,author,placement,price,nprice
Практическое введение в решение дифференциальных уравнений в Python,Н. М. Ершов,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 2619,00 руб.",2619.0
Python. Чистый код для продолжающих,Э. Свейгарт,,"Цена: 2239,00 руб.",2239.0
Python - это просто. Пошаговое руководство по программированию и анализу данных,Н. Нисчал,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 1189,00 руб.",1189.0
Python.Создаем программы и игры,Д. М. Кольцов ,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 03","Цена: 679,00 руб.",679.0
Алгоритмы Data Science и их практическая реализация на Python,"А. В. Протодьяконов, П. А. Пылов, В. Е. Садовников","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 90, полка 06","Цена: 3459,00 руб.",3459.0
Программируем на Python,М. Доусон,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 04","Цена: 1359,00 руб.",1359.0
Python для детей : самоучитель по программированию,Дж. Бриггс,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 87, полка 06","Цена: 1569,00 руб.",1569.0
Начинаем программировать на Python,Т. Гэддис ,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 04","Цена: 2619,00 руб.",2619.0
Машинное обучение: карманный справочник. Краткое руководство по методам структурированного машинного обучения на Python,М. Харрисон,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 04","Цена: 939,00 руб.",939.0
Изучаем программирование на Python,П. Бэрри,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 1859,00 руб.",1859.0
Python для юных программистов,Python для юных программистов,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 87, полка 06","Цена: 1059,00 руб.",1059.0
"Справочник PYTHON.  Кратко, быстро, под рукой","Справочник PYTHON.  Кратко, быстро, под рукой","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 499,00 руб.",499.0
Python: быстрый старт,Python: быстрый старт,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 1009,00 руб.",1009.0
Простой Python. Современный стиль программирования,Простой Python. Современный стиль программирования,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 03","Цена: 2019,00 руб.",2019.0
"Изучаем Python, том 1","Изучаем Python, том 1","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 4459,00 руб.",4459.0
Python 3   Самое необходимое ,Python 3   Самое необходимое ,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 03","Цена: 1329,00 руб.",1329.0
Чистый Python. Тонкости программирования для профи,Чистый Python. Тонкости программирования для профи,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 04","Цена: 1459,00 руб.",1459.0
Стандартная библиотека Python 3,Стандартная библиотека Python 3,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 4109,00 руб.",4109.0
Программирование на Python для начинающих,Программирование на Python для начинающих,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 789,00 руб.",789.0
Большая книга проектов Python,Большая книга проектов Python,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 1669,00 руб.",1669.0
